review,preprocessed_text,score,predicted_label,predicted_label_code,confidence_negatif,confidence_netral,confidence_positif,confidence_max
"tolong kembalikan saldo dana saya yg di tarik sebesar Rp 609.390,00 karena saya tidak mengetahui pembayaran ini, mohon bantuan nya untuk bisa mengembalikan saldo yg di tarik tiba"" dari dana saya tidak merasa berlangganan di apk ini",tolong kembali saldo dana tarik bayar mohon bantu kembali saldo tarik dana langgan aplikasi,1,negatif,0,0.6530179446740109,0.1642498675004123,0.1827321878255768,0.6530179446740109
aplikasi rusak saya tidak ingin berlangganan malah saldo saya langsung di potong tanpa konfirmasi saya,aplikasi rusak langgan saldo langsung potong konfirmasi,1,negatif,0,0.5538806072891855,0.17544508169409356,0.27067431101672085,0.5538806072891855
"gabisa di share, selalu error",gabisa share error,1,netral,1,0.3705140624467614,0.3921581133977097,0.23732782415552892,0.3921581133977097
bagus saya vapek capek jogging setiap hari tidak kerekam sama sekali sama tidak bisa mendownload pace dan jarak nya tolong di perbaiki lagi ya strava,bagus vapek capek jogging rekam mendownload pace jarak tolong baik strava,5,negatif,0,0.5089195975368698,0.21152258912266472,0.2795578133404654,0.5089195975368698
apk ini sbnrnya bagus namun yg g bagusnya tetiba ada pemotongan berlangganan yg nyatane sya g berlangganan,aplikasi sbnrnya bagus bagus tetiba potong langgan nyatane langgan,1,positif,2,0.31555362745150306,0.19685800812502072,0.4875883644234762,0.4875883644234762
Yes mantap,bagus,5,positif,2,0.08431282974972616,0.21118499261364634,0.7045021776366274,0.7045021776366274
"Cocok buat lari, Dan sangat akurat",cocok lari akurat,5,positif,2,0.24615967488791876,0.1858223775576855,0.5680179475543957,0.5680179475543957
bagus untuk melihat peforma olahraga,bagus forma olahraga,5,positif,2,0.05689952768894096,0.11541503709485264,0.8276854352162065,0.8276854352162065
aplikasi perjuangan,aplikasi juang,5,positif,2,0.4419097526606714,0.10351175307936962,0.4545784942599591,0.4545784942599591
apk tidak bisa login tolong di perbaiki!!!,aplikasi login tolong baik,5,negatif,0,0.6287255778953179,0.17278481103073365,0.19848961107394858,0.6287255778953179
"aplikasi sering banget error, udh di start di sinyal hijau tapi pas finish malah ngaco hasil kilometer nya, tolong diperbaiki lah, masa saya udh sepedaan cape cape 100km++ tapi hasil nya di strava cuma 3km",aplikasi banget error start sinyal hijau finish ngaco hasil kilometer tolong baik sepeda cape cape hasil strava,1,negatif,0,0.5616677280448938,0.18431066601077528,0.2540216059443308,0.5616677280448938
"suka ngelag bjirr, kadang juga suka tiba-tiba keluar dari apk",suka ngelag bjirr kadang suka tibatiba aplikasi,2,negatif,0,0.5346869666415006,0.15252791209466704,0.31278512126383223,0.5346869666415006
aplikasi penyemangat..mantap,aplikasi penyemangatmantap,5,positif,2,0.4419097526606714,0.10351175307936962,0.4545784942599591,0.4545784942599591
Memproses vidio ke story IG sangat lama tolong segera di perbaiki. Terimakasih,proses vidio story tolong baik terimakasih,2,negatif,0,0.4971986788163506,0.2728004854327105,0.230000835750939,0.4971986788163506
"Hampir 4 bulan ini aplikasi strava gabisa connect ke wifi dan selalu logout/error ketika di hubungkan ke wifi, kira2 disini ada yg sm kasusnya ga yaaa?",aplikasi strava gabisa connect wifi logouterror hubung wifi kasus yaaa,3,negatif,0,0.423848862794782,0.2183377723785697,0.3578133648266483,0.423848862794782
aplikasi saat dipakai tidak bisa login,aplikasi pakai login,1,negatif,0,0.4838436503893727,0.1463908020746166,0.3697655475360108,0.4838436503893727
ga bisa masuk eror trus,masuk eror trus,2,negatif,0,0.4880672187796317,0.26311102072767206,0.2488217604926962,0.4880672187796317
kadang susah ipdate data hasil dr smart watch,kadang susah ipdate data hasil smart watch,3,negatif,0,0.4576990325246633,0.19155328084100195,0.3507476866343347,0.4576990325246633
aplikasi aneh masa aku gbisa login pake email pake Facebook,aplikasi aneh gbisa login pake email pake facebook,1,negatif,0,0.5697141645116968,0.1791733640516212,0.2511124714366819,0.5697141645116968
kecewa bangat sama aplikasi ini uang aku di sedot 600 rb,kecewa bangat aplikasi uang sedot,1,negatif,0,0.6225561624325263,0.12619322246727654,0.2512506151001973,0.6225561624325263
"aplikasi yg hanya menguntungkan pengguna iPhone,pengguna android suka ngelag gps nya, zig-zag dan tidak akurat",aplikasi untung guna iphonepengguna android suka ngelag zigzag akurat,2,negatif,0,0.5190733860544902,0.1440918330066742,0.3368347809388357,0.5190733860544902
rekomend bet buat olahraga gak akan nyesel pakenya😁🤗,rekomend olahraga nyesel pakenya,5,positif,2,0.13432937068549905,0.09029314222844258,0.7753774870860584,0.7753774870860584
good aplikasi utk olahraga.,good aplikasi olahraga,5,positif,2,0.2589501054837582,0.12741619207835014,0.6136337024378916,0.6136337024378916
masih perlu ditingkatkan menjadi aplikasi non langganan,tingkat aplikasi langgan,4,negatif,0,0.46846895302566677,0.23921362060152118,0.292317426372812,0.46846895302566677
Alhamdulillah.. Mantap Aplikasi Strava. Terus Maju dan Berkembang Dalam Menciptakan Sebuah Karya.. Hebat Strava,alhamdulillah bagus aplikasi strava maju kembang cipta karya hebat strava,5,positif,2,0.32645224527086514,0.15134002419167192,0.5222077305374629,0.5222077305374629
"Tolong Refund 609.930,saya tidak pernah menyetujui pembayaran lewat aplikasi dana, tapi kenap dipotong otomatis, seharusnya pembayaran ada verifikasi dari pengguan Dana, ini gak ada sama sekali, tiba2 saldo udah kepotong. tolong kembalikan saldo Dana saya",tolong refund tuju bayar aplikasi dana kenap potong otomatis bayar verifikasi pengguan dana saldo potong tolong kembali saldo dana,1,negatif,0,0.6529751372882777,0.17413202312215115,0.1728928395895712,0.6529751372882777
sangat membantu,bantu,5,positif,2,0.14192515263762728,0.08736691275818104,0.7707079346041917,0.7707079346041917
"bug jarak dan kecepatan tidak akurat, langganan pun percuma",jarak cepat akurat langgan,1,negatif,0,0.4949214545063274,0.20966751971016653,0.29541102578350614,0.4949214545063274
aplikasi pencuri dana,aplikasi curi dana,1,negatif,0,0.5320433417146296,0.16585871471325464,0.3020979435721157,0.5320433417146296
"sebenarnya fiturnya udh bagus,cuman fitur yang tadinya gratis sekarang harus proo,saya berharap fitur yang tadinya gratis untuk update selanjutnya di buka lagi.jadi jangn serba premium pliss ini MH🙏🙏",fiturnya baguscuman fitur gratis proosaya harap fitur gratis update buka lagijadi jangn serba premium pliss,3,netral,1,0.2931038079047102,0.4176560983132925,0.2892400937819973,0.4176560983132925
"Tolonglah saya gak bisa login, sudah diulang ulang tetep gak bisa login, jadi tolong perbaiki sistem nya..🤝",tolong login ulang ulang tetep login tolong baik sistem,1,negatif,0,0.621652519090162,0.1884489417662331,0.18989853914360497,0.621652519090162
mantap n detail.,bagus detail,5,positif,2,0.08431282974972616,0.21118499261364634,0.7045021776366274,0.7045021776366274
Aplikasinya Ok. untuk memantau progress olahraga kita,aplikasi pantau progress olahraga,5,positif,2,0.273198338059087,0.12277103394172631,0.6040306279991867,0.6040306279991867
"aplikasi yang menemani saya saat olahraga lari, cocok untuk pemula yang ingin berolahraga untuk kesehatan",aplikasi tani olahraga lari cocok mula olahraga sehat,5,positif,2,0.12913749208613237,0.10039206547600982,0.7704704424378579,0.7704704424378579
bermanfaat untuk larii,manfaat lari,5,positif,2,0.2547627972427642,0.19025640681303765,0.5549807959441981,0.5549807959441981
sangat membantu apapun jenis olahraga nya... strava memang mantappp... 👍👍👍,bantu jenis olahraga strava mantappp,5,positif,2,0.19856933385701236,0.10814418676392507,0.6932864793790625,0.6932864793790625
"kurang bagus 2kali garis mapsnya ntah kemana mana padahal sinyal aman gps aman eh malah sampe malaysia garis lari saya, tolong pacemya diperbaiki masa saya jaln.pace 7",bagus kali garis mapsnya ntah mana sinyal aman aman sampe malaysia garis lari tolong pacemya baik jalnpace,1,negatif,0,0.43101328080356344,0.20709990013597068,0.3618868190604659,0.43101328080356344
tolong kembalikan uang saya senilai 609.000 demi kenyamanan bersama kk. uang sy tiba2 ke transaksi sendiri jam 12 malam,tolong kembali uang nila nyaman uang transaksi malam,2,negatif,0,0.6813597739707907,0.15535099257178467,0.16328923345742452,0.6813597739707907
signal gps selalu eror hasil track running saya parah. padahal saya tinggal di tengah-tengah kota yg memungkinkan sinyal stabil. paraaaah,signal eror hasil track running parah tinggal tengahtengah kota sinyal stabil paraaaah,1,negatif,0,0.4860513945986355,0.26626548671985295,0.2476831186815116,0.4860513945986355
"tidak bisa login, server strava mengalami kesalahan",login server strava alami salah,1,negatif,0,0.48131769442672095,0.26944377499687516,0.24923853057640394,0.48131769442672095
saya kasih bintang 3 dlu soalnya knpa ketika mau di share malah yang keluar kenaikan elev bukan pace yang saya mau liat itu pace bukan kenaikan elev itu ga penting nanti kalo udah bener saya kasi bintang 5 kalo udah diganti lagi jadi pace bukan kenaikan elev,kasih bintang knpa share naik elev pace liat pace naik elev kalo bener kasi bintang kalo ganti pace naik elev,3,negatif,0,0.37398220614245414,0.27248196605160446,0.35353582780594134,0.37398220614245414
semakin lama semakin ngaco. sering banget eror mohon dong di perbaiki. udah di start dalam posisi sinyal hijau. Uda cape cape lari tau nya ga jalan aplikasi nya. kan bga asik bgt,ngaco banget eror mohon baik start posisi sinyal hijau cape cape lari jalan aplikasi asik banget,1,negatif,0,0.5267795658646036,0.16310887655680995,0.31011155757858655,0.5267795658646036
"uang saya sebesar 609 ribu di dana hilang di hisap aplikasi ini, tolong di kembalikan",uang ribu dana hilang hisap aplikasi tolong kembali,1,negatif,0,0.6647441749091154,0.16116488798569312,0.17409093710519133,0.6647441749091154
cukup membantu kita untuk mengetahui progres latihan,bantu progres latih,5,positif,2,0.20840117495163243,0.12207091894218747,0.6695279061061801,0.6695279061061801
"Bantu kak, cara ubah dari jarak mil ke KM",bantu ubah jarak,5,positif,2,0.31619559276327863,0.21527450109152266,0.46852990614519857,0.46852990614519857
mantul,mantul,5,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
keren aplikasinya...,bagus aplikasi,5,positif,2,0.14540200651084856,0.14194793826760274,0.7126500552215486,0.7126500552215486
sudah aktifkan lokasi tetap tidak jadi,aktif lokasi,1,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
"Tolong teknisi strava, saya udah capek-capek gowes kadang rute tidak terekam, seluruh opsi latar belakang sudah di aktifkan agar memperlancar perekaman rute saat bersepeda. tetapi, masih di temukan rute yang tidak terekam, dan ini terjadi tidak 100 atau 300 meter. tetapi, beberapa kilometer 🥲.",tolong teknisi strava capekcapek gowes kadang rute rekam opsi latar aktif lancar rekam rute sepeda temu rute rekam meter kilometer,5,negatif,0,0.5472321691350481,0.2034660189642187,0.24930181190073317,0.5472321691350481
"saya menggunakan yg gratis kok pernah ada tagihan via email sebesar Rp 600.000, saya yakin bok..aabok..tak iyyye ya saya abaikan, llla kok enak nyari duwit dg cara malak tanpa berkeringat",gratis tagih email bokaaboktak iyyye abai llla enak nyari duwit malak keringat,4,positif,2,0.3089781559040755,0.325165871567075,0.3658559725288496,0.3658559725288496
terukur jadi nya,ukur,5,positif,2,0.3386524699608223,0.19833745597484287,0.46301007406433486,0.46301007406433486
"saldo dana saya di ambil otomatis sama app strava ini padahal saya tidak mengaktifkan berlagganan dan saya tidak menggunakan app ini..tolong kembalikan saldo saya sebesar 609,930..sangat kecewa sangat merugikan sekali tolong bisa di tindak lanjuti secepatnya",saldo dana ambil otomatis strava aktif berlagganan initolong kembali saldo kecewa rugi tolong tindak lanjut cepat,1,negatif,0,0.6456910778795493,0.1662765289121995,0.18803239320825116,0.6456910778795493
"agak kecewa krn di versi yg terbaru ini utk jalan kaki udh gak mengukur per langkah lagi tapi pake elevasi ketinggian, begitu juga dgn olahraga lari pace cepet tpi hitungannya tetep lambat dan pengukuran jaraknya juga kadang ngawur",kecewa versi baru jalan kaki ukur langkah pake elevasi tinggi olahraga lari pace cepet hitung tetep lambat ukur jarak kadang ngawur,2,negatif,0,0.5056326964932089,0.1637981229139031,0.3305691805928881,0.5056326964932089
sanggat bagu dan tepat,sanggat bagu,5,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
"yaTuhan tolong kembalikan saldo dana saya... saya tidak sengaja atau ke pencet.. tiba tiba saldo saya kesedot dan dikatakan ada berlangganan tolong kembalikan saldo saya sebesar 609,390.00 tolong saya mohon",yatuhan tolong kembali saldo dana sengaja pencet saldo sedot langgan tolong kembali saldo tolong mohon,1,negatif,0,0.6621250377407063,0.2109614326003009,0.12691352965899283,0.6621250377407063
"tolong kembalikan dana saya, gak pernah langganan tiba tiba kesedot 690.390 anjg""",tolong kembali dana langgan sedot anjg,1,negatif,0,0.6200394464138379,0.25073109581476666,0.12922945777139563,0.6200394464138379
saya ingin pengajuan pembatalan paket namun tidak diterima,batal paket terima,1,negatif,0,0.4257051425181991,0.2325101017043047,0.34178475577749634,0.4257051425181991
bikin olahraga tambah keren tambah semangat,bikin olahraga bagus semangat,5,positif,2,0.1328905270413649,0.12173899990553243,0.7453704730531027,0.7453704730531027
aplikasi saat di record long run. sering keluar sendiri,aplikasi record long,2,negatif,0,0.4163934219633698,0.17328941767658795,0.4103171603600421,0.4163934219633698
sangat membantu optimasi latihan,bantu optimasi latih,5,positif,2,0.14192515263762728,0.08736691275818104,0.7707079346041917,0.7707079346041917
harusnya dibikin auto save setiap kilometer,bikin auto save kilometer,1,negatif,0,0.5292804761775048,0.202437997571742,0.2682815262507533,0.5292804761775048
saya mendapatkan hal yang tidak mengenakan di aplikasi ini . saldo dana saya hilang 600rb . apakah bisa pengembalian dana . karna itu tidak sengaja atau tidak sah,kena aplikasi saldo dana hilang kembali dana karna sengaja,3,negatif,0,0.6008555977291119,0.19328634495991012,0.20585805731097806,0.6008555977291119
tolong kembalikan dana saya 609.390 ribu. saya tidak pernah melakukan transaksi aplikasi ini,tolong kembali dana ribu transaksi aplikasi,1,negatif,0,0.6145622493087443,0.198257184889859,0.18718056580139678,0.6145622493087443
ok semoga bermanfaat,moga manfaat,5,positif,2,0.36878644215778045,0.19256867100069455,0.4386448868415249,0.4386448868415249
Biar tau progress latihan nya 👍👏,biar progress latih,5,positif,2,0.3650729442818402,0.23083039737627659,0.4040966583418833,0.4040966583418833
ini kenapa pace nya gabisa dibagikan??? kenapa yang muncul hanya jarak sama elevasi ajaa??? padahl pengen bikin trend:(,pace gabisa bagi muncul jarak elevasi ajaa padahl bikin trend,3,negatif,0,0.457245649100817,0.25503379558059014,0.28772055531859286,0.457245649100817
"selmat malam , tolong kembali dana saya ,sya tidak sengaja berlanganang kak tolong saldo saya ketarim sendiri ku harap dana saya di kembalikan lagi",selmat malam tolong dana sengaja berlanganang tolong saldo ketarim harap dana kembali,5,negatif,0,0.6485376662698346,0.214765958222949,0.13669637550721653,0.6485376662698346
saya baru pertama kali pake apk ini tapi kok menurut saya pribadi kurang akurat saat mengukur jarak dan pace,kali pake aplikasi pribadi akurat ukur jarak pace,4,negatif,0,0.44952399908072005,0.1673545261782951,0.38312147474098474,0.44952399908072005
sangat memuaskan,muas,5,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
kadang suka error,kadang suka error,5,negatif,0,0.5603901165355354,0.17867136924978433,0.2609385142146804,0.5603901165355354
"Aplikasi Gioamat, mau lari baru dia bug bug",aplikasi gioamat lari,1,positif,2,0.30001869579458124,0.1510377898772078,0.548943514328211,0.548943514328211
saya ga ada berlangganan apa2 700ribu saya di tarik dari gopay tu maksudnya apa,langgan ribu tarik gopay maksud,1,negatif,0,0.5832771504233812,0.187709425402218,0.2290134241744007,0.5832771504233812
kembalikan saldo saya 609.390 dana tolong kembalikan saldo ya buat beli sepatu udah 2bulan aku ngumpulin uang ya kamu ambil tolong kembalikan ya aku minta tolong banget🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,kembali saldo dana tolong kembali saldo beli sepatu ngumpulin uang ambil tolong kembali tolong banget,1,negatif,0,0.6861875378695093,0.18493682309310885,0.1288756390373819,0.6861875378695093
"aplikasi babi saya tidak melakukan transaksi langganan, saldo saya tabungan 600rb hilang tanggung jawab ajg",aplikasi babi transaksi langgan saldo tabung hilang tanggung,1,negatif,0,0.5757572068276345,0.15895456229715954,0.26528823087520603,0.5757572068276345
"tolong ya untuk developer harus adil, masa merek sepatu kesayangan saya tidak ada. hundred",tolong developer adil merek sepatu sayang hundred,1,negatif,0,0.4783394171504337,0.27728878586256306,0.24437179698700326,0.4783394171504337
Mayan lah selama gratisan,mayan gratis,5,positif,2,0.3008732417843435,0.315648606504129,0.3834781517115275,0.3834781517115275
"aplikasi aneh.. sering keluar sendiri dan kalau mau login lagi sangat sulit. kesalahan server terus, sangat tidak mengenakkan.",aplikasi aneh login sulit salah server enak,1,negatif,0,0.48757665277270507,0.22383703458969537,0.2885863126375996,0.48757665277270507
"apk kocak, tiba"" eror udh gitu gabisa dikaitkan ke jam tangan, asu",aplikasi kocak eror gitu gabisa kait tangan,1,negatif,0,0.44192254708792955,0.31038231882662043,0.24769513408545005,0.44192254708792955
"sering ga kebaca, udah cape cape lari tapi ga kehitung rasanya tuh kaya nyesek aja",baca cape cape lari hitung kaya nyesek,1,negatif,0,0.3911798869608379,0.26523875936071795,0.3435813536784441,0.3911798869608379
mau login kesalahan terus,login salah,2,negatif,0,0.530339085459744,0.19696474255467403,0.2726961719855821,0.530339085459744
allkkasi bagus buat bersepeda,allkkasi bagus sepeda,5,positif,2,0.18980135255285563,0.19909052901447333,0.6111081184326709,0.6111081184326709
sangat membantu dalam latihan endurance.,bantu latih endurance,5,positif,2,0.14192515263762728,0.08736691275818104,0.7707079346041917,0.7707079346041917
harus berbayar,bayar,4,negatif,0,0.5195023756668514,0.2430834305054331,0.23741419382771542,0.5195023756668514
"Apk baguss, kasih premium 1 Minggu 🙃🙃🙃",aplikasi baguss kasih premium minggu,5,positif,2,0.3473532544805121,0.254574288048297,0.3980724574711909,0.3980724574711909
bagusss,bagusss,4,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
mohon di kembalikan dana saya sebesar 609.390 saya mersa tidak membeli item apapun tiba-tiba dana saya terpotong 609.390. mohon di kembalikan aplikasi sudah banyak memakan korban secara otomatis uang y ada di dana hilang..,mohon kembali dana mersa beli item tibatiba dana potong mohon kembali aplikasi makan korban otomatis uang dana hilang,1,negatif,0,0.6115115307190502,0.21566254924516168,0.17282592003578814,0.6115115307190502
mantap membantu sekali,bagus bantu,5,positif,2,0.11629667518607424,0.12909158469791543,0.7546117401160104,0.7546117401160104
"otomatis bayar padahal trial doang, ga ada notifikasi, parah bgt",otomatis bayar trial doang notifikasi parah banget,1,negatif,0,0.5199075304854899,0.1782572812800145,0.30183518823449557,0.5199075304854899
strava membuat semangat berolah raga,strava semangat olah raga,5,positif,2,0.3021224498769435,0.15486977209244443,0.5430077780306121,0.5430077780306121
"alus lah membantu, ngan aya fitur berbayar",alus bantu ngan fitur bayar,4,positif,2,0.2510259246967397,0.24226319757999562,0.5067108777232646,0.5067108777232646
"akhir akhir ini selalu kecewa sama Strava, udah lari jauh jauh eh kaga ke deteksi jirr kecewa tiba tiba nge end sendiri",kecewa strava lari kaga deteksi jirr kecewa,3,negatif,0,0.5607831175596804,0.15438805045757548,0.28482883198274406,0.5607831175596804
"Aplikasi ny Bagus, Saya Sudah Coba, Semoga Banyak Yang Pake Kedepan Nya Lagi 👍",aplikasi bagus coba moga pake depan,5,positif,2,0.2978706807166178,0.1985601822321823,0.5035691370511999,0.5035691370511999
"Cocok untuk cek jarak, kecepatan, dan target semua olahraga yg memerlukan waktu dan kecepatan",cocok jarak cepat target olahraga cepat,5,positif,2,0.31787986407053853,0.1602922340704981,0.5218279018589633,0.5218279018589633
Mantap Mentonk....,bagus mentonk,5,positif,2,0.08431282974972616,0.21118499261364634,0.7045021776366274,0.7045021776366274
aplikasi nya baguss bgt ttt,aplikasi baguss banget,5,positif,2,0.36382678876461294,0.13116252479381682,0.5050106864415702,0.5050106864415702
26/09/25 Tolong kembalikan dana saya sebesar Rp.609.390 saya tidak pernah mengaktifkan untuk berlangganan. tiba tiba mendapatkan notifikasi dari Gmail dan dana saya terpotong sebesar Rp.609.390. Saya sudah buat pengajuan tolong dikembalikan dan dipercepat untuk penyelesaian masalah ini. MOHON DIBANTU SECEPATNYA!!,tolong kembali dana aktif langgan notifikasi gmail dana potong tolong kembali cepat selesai mohon bantu cepat,1,negatif,0,0.5904338576383028,0.22609961654419558,0.18346652581750164,0.5904338576383028
"tidak bisa log-in? #ket server eror, mohon diperbaiki",login server eror mohon baik,1,negatif,0,0.4964720440374533,0.292201603732177,0.2113263522303697,0.4964720440374533
tidak bisa login dengan alasan salah server gimana dong nihhh,login alas salah server gimana nihhh,1,negatif,0,0.47170498141931,0.28330277685067834,0.24499224173001163,0.47170498141931
apk apa ini gak bisa daftar udh berapa kali cobe tetep aja gak bisa gak ada kode nya Mulu aneh bet apk nya,aplikasi daftar kali cobe tetep kode mulu aneh aplikasi,2,negatif,0,0.5562744032372036,0.15078122706108973,0.29294436970170656,0.5562744032372036
pas pertama download sangat bagus pas udah lama tiba² gak bisa di buka aplikasi nya,download bagus buka aplikasi,2,positif,2,0.23447585983447047,0.2809006558802361,0.48462348428529345,0.48462348428529345
bagus bisa ngukur jarak tempuh .saya suka aplikasi ini,bagus ngukur jarak tempuh suka aplikasi,5,positif,2,0.401209734938285,0.1674322670343058,0.43135799802740926,0.43135799802740926
buruk,buruk,1,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
"sangat sulit login menggunakan wifi, tapi aplikasi ini akurat, bisa digunakan secara offline dan bagus saat menggunakan kuota. tapi jika menggunakan wifi aplikasi ini tidak mau berfungsi.",sulit login wifi aplikasi akurat offline bagus kuota wifi aplikasi fungsi,5,positif,2,0.3830076386916688,0.19509981792802408,0.42189254338030713,0.42189254338030713
"aplikasi nya memang bagus tapi kadang mau gak kerekam, padahal udah cape lari",aplikasi bagus kadang rekam cape lari,4,positif,2,0.24279809317784207,0.18507295592823458,0.5721289508939233,0.5721289508939233
mantap banget aplikasikan,bagus banget aplikasi,5,positif,2,0.24555096569034707,0.12133285365418561,0.6331161806554673,0.6331161806554673
aplikasi yang sangat membantu kegiatan olahraga saya,aplikasi bantu giat olahraga,5,positif,2,0.14903162709680412,0.08062003188355579,0.77034834101964,0.77034834101964
akhir2 ini kenapa waktu nya error ya lebih cepat dari sebenarnya. Kita udah jalan 30 menit diaplikasi cuma 8 menit,error cepat jalan menit aplikasi menit,2,negatif,0,0.48832101387436916,0.16768209708133786,0.343996889044293,0.48832101387436916
ini kenapa error terus sih,error,3,negatif,0,0.5414675874438285,0.21055337336138452,0.24797903919478698,0.5414675874438285
"Dan lagi, aktivitas tidak tercatat karena eror 😠",aktivitas catat eror,5,negatif,0,0.4488141927920197,0.23892380316675213,0.31226200404122817,0.4488141927920197
"tolong kembalikan saldo saya yg di tarik sebesar Rp 609.390,00 karena saya tidak mengetahui nya dalam pembayaran ini ,mohon bantuan nya untuk bisa mengembalikan saldo yg di tarik tiba"" dari dana saya tidak merasa berlangganan di apk ini",tolong kembali saldo tarik bayar mohon bantu kembali saldo tarik dana langgan aplikasi,1,negatif,0,0.6494827033001328,0.16164956762435234,0.18886772907551494,0.6494827033001328
Tobaraya Konstruksi mesin molen 500 liter - Strava membantu banget dalam aktifitas olahraga. salam sehat,tobaraya konstruksi mesin molen liter strava bantu banget aktifitas olahraga salam sehat,5,positif,2,0.21841641832886086,0.1499625407906142,0.631621040880525,0.631621040880525
"ya Allah tolong kembalikan uang saya, tiba-tiba ketarik otomatis di akun dana 609.390, itu sepertinya tidak sengaja kepencet fitur berlangganan saya mohon kembalikan uang saya sangat membutuhkan",allah tolong kembali uang tibatiba tarik otomatis akun dana sengaja pencet fitur langgan mohon kembali uang butuh,1,negatif,0,0.6449182025940661,0.21265736332909962,0.14242443407683436,0.6449182025940661
suka banget,suka banget,5,negatif,0,0.4605096546496526,0.13019469433061226,0.40929565101973514,0.4605096546496526
"saya tidak ada mendaki malah dicatat kenaikan elevasi, dan pengaturan untuk mengubah hal tsb tidak ada",daki catat naik elevasi atur ubah,2,negatif,0,0.45951317605700387,0.22320071877917533,0.3172861051638207,0.45951317605700387
"bagi pelari mungkin aplikasi ini sangat bagus,tapi bagi saya yang kurang suka olahraga lari tidak terlalu suka dengan aplikasi ini,tapi aplikasi ini rekomendasi sekali bagi pelari",lari aplikasi bagustapi suka olahraga lari suka aplikasi initapi aplikasi rekomendasi lari,4,positif,2,0.27341399054364174,0.12946742504152337,0.5971185844148349,0.5971185844148349
